date,temperature_2m_above_ground,specific_humidity_2m_above_ground,relative_humidity_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,precipitable_water_entire_atmosphere,total_precipitation_surface,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,year,population,water_availability
2021-12-31,10.515199499614292,0.0066901113067101,82.78533465416264,-1.269624692173543,-1.2118153568322094,15.550733500753594,,Algeirs,0.0094799363558801,286.6470305124919,0.0007308017292719645,1.8300198766085799e-09,5.792197742948701e-06,0.0,8.156125187497309e-06,671.2031743367513,-60.68558219273885,-7.22830842534701,22.14533756573995,20.117082635561623,0.0,0.0,0.0,286.6470305124919,900.2275563557944,229.02444140116373,4.641476458311081,0.0,95.71786130269368,2.3620964867632207e-06,900.22836227417,2021,2809000,28552638591.20617
2022-01-01,11.900417101796908,0.0063499850758252,70.7316466933763,-1.284332995741072,-0.7469062829858575,17.88411249737842,,Algeirs,0.0094499160263997,286.7889002482096,0.0007816560857463627,-5.246331577964577e-09,5.657055121825276e-06,0.0,7.916621801011085e-06,670.3505109151204,-56.95423199335734,-5.204900447527567,21.730757252375284,19.52634551525116,0.0,0.0,0.0,286.7889002482096,899.0525296529134,228.7019791285197,4.636153789361318,0.0,93.0064310391744,2.2648127924185246e-06,899.0532483418782,2022,2854000,28504417363.36834
2022-01-02,12.420652225489016,0.0064333322846656,68.29137729755857,-1.4026965090314545,-0.6070888178980326,18.300849244339517,,Algeirs,0.0089601771207526,286.54140993754066,0.0009109309832031916,4.6796976349572374e-09,5.872776906320116e-06,0.0,8.149796968837109e-06,669.6210726420085,-56.545044088363646,-4.560012084245682,23.18894990285237,20.10147449175517,0.0,0.0,0.0,286.54140993754066,898.0453292846679,228.42423375447592,4.628033781051636,0.0,95.27753931681316,2.272340836384501e-06,898.0462158203126,2022,2854000,28471770196.717148
2022-01-03,12.400710319345082,0.0058459902631716,61.43152735235896,-1.154862083063017,-0.6746104349057966,16.11516823985043,,Algeirs,0.008998002220566,286.9356638590495,0.00146034508507,1.0091087826458177e-08,6.293065259418048e-06,0.0,8.725090132581195e-06,668.8895016988118,-56.657229073842366,-2.7505456328392026,19.718157259623208,21.520434363683066,0.0,3.831248047583199e-12,0.0,286.9356638590495,897.0240392049154,228.13452421824132,4.619722660382589,0.0,95.14728549321492,2.4219336637543166e-06,897.0254748026531,2022,2854000,28438678611.889843
2022-01-04,13.447314198216684,0.0055424821900734,54.83630707469681,-0.8575086345614388,-0.0250784178591877,16.99073464731163,,Algeirs,0.0177939952040712,287.612571589152,0.0010259101606303,8.520165943141459e-09,1.240886288087495e-05,0.0,1.5921470742341628e-05,668.1582578023274,-78.41835908889772,2.03184841076533,-18.328601892789205,39.27030690511067,0.0,0.0,0.0,287.612571589152,895.7384262084961,227.5801709493001,4.54958650569121,0.0,101.4004766146342,3.504087183614502e-06,895.7394752502441,2022,2854000,28396987563.386677
2022-01-05,14.785837794324264,0.0057764491713458,52.46091847492582,-1.320918122490907,0.4715164837336135,22.30868571781264,,Algeirs,0.065905854695787,286.3176250457764,0.0131990508331606,3.851125571448695e-06,1.4922346838375234e-05,0.0,1.9964049806731057e-05,667.3864496866862,-43.4993949095408,-10.925153136253355,-10.33005068898201,49.24132812817891,0.0,4.364736803097458e-07,0.0,286.3176250457764,894.5260566711426,227.1394454956055,4.626611651976903,0.0,71.47514877319337,1.1905767050753484e-06,894.5391329447428,2022,2854000,28358073452.42505
2022-01-06,16.300860244064406,0.0079857573912397,66.69205439065365,-0.8054553689979975,0.1905647788460703,28.155435018491687,,Algeirs,0.0203690471748511,283.64590326944983,0.0702978364191949,5.438716073058458e-06,5.821123429920287e-06,0.0,1.1601495259583317e-05,666.6090194702149,-24.507339509328208,-16.971184889475506,21.170987184842428,28.61508902708689,0.0,2.3246035870746098e-06,0.0,283.64590326944983,895.7344538370768,229.12543633778887,5.109832203388215,0.0,57.31657656033833,3.416559906691912e-07,895.8047503153482,2022,2854000,28399103727.346615
2022-01-07,14.81755131080688,0.0093090626909588,85.77764807926172,-1.8657784727354552,0.2260408296879944,27.35326675613473,,Algeirs,0.0240881791726375,282.50324592590334,0.0564090992634495,3.333362810546229e-06,8.173792749251636e-06,0.0,1.230956280172298e-05,666.0126770019531,-49.70142084757487,-14.965514469146727,11.832198228438694,30.36153480211894,0.0,3.481113534320457e-07,0.0,282.50324592590334,897.6468055725098,231.63421738942463,4.833782728513081,0.0,76.92641448974611,8.02407170278722e-07,897.7032811482748,2022,2854000,28460652536.513794
2022-01-08,15.582096745099513,0.0093040567636311,81.75289538945873,-1.044910779580583,1.0641234646996558,26.141391799051743,,Algeirs,0.0401716705256452,283.6854579925537,0.0070540360757149,1.003644181452046e-06,9.96988658622892e-06,0.0,1.2049220235136696e-05,665.5109903971354,-53.23598146438599,-3.4656106094519297,-4.617915973067284,29.71939977010091,0.0,5.980792530853782e-08,0.0,283.6854579925537,896.6944391886394,231.1834021250407,4.6631654103597,0.0,74.87800833384196,1.075689164764526e-06,896.7014338175455,2022,2854000,28428173469.487717
2022-01-09,14.74366864088179,0.0089378450543538,82.24878010185023,0.1195259630263776,-0.1886425038376625,23.28056731636765,,Algeirs,0.0556447157481064,285.954541905721,0.0013777164703545,4.3347692087654834e-08,1.555463399351235e-05,0.0,1.790099012547823e-05,665.0050000508626,-70.68210293451945,4.481979409853617,-26.294994314511616,44.15279343922933,0.0,0.0,0.0,285.954541905721,895.2034484863282,230.19838148752848,4.557644571860632,0.0,93.03103952407837,2.3030095263720794e-06,895.2047571818034,2022,2854000,28379652443.102135
